WKT,name
"POLYGON ((-123.1174000 33.8056031, -123.1174000 25.7840000, -108.3454000 25.7840000, -108.3454000 33.8056031, -123.1174000 33.8056031))","Phoenix"
"POINT (-112.0892000 33.5722000)","Phoenix city"
"POLYGON ((-108.3454000 33.8056031, -108.3454000 25.7840000, -98.3279539 25.7840000, -98.3279539 33.8056031, -108.3454000 33.8056031))","Las Cruces"
"POINT (-106.7893000 32.3265000)","Las Cruces city"
"POLYGON ((-123.1174000 37.3006656, -123.1174000 33.8056031, -118.0049031 33.8056031, -118.0049031 37.3006656, -123.1174000 37.3006656))","Bakersfield"
"POINT (-119.0359000 35.3529000)","Bakersfield city"
"POLYGON ((-118.0049031 37.3006656, -118.0049031 33.8056031, -98.3279539 33.8056031, -98.3279539 37.3006656, -118.0049031 37.3006656))","Anaheim"
"POINT (-117.8574000 33.8390000)","Anaheim city"
"POLYGON ((-98.3279539 31.2762375, -98.3279539 25.7840000, -94.3653250 25.7840000, -94.3653250 31.2762375, -98.3279539 31.2762375))","Austin"
"POINT (-97.7522000 30.3005000)","Austin city"
"POLYGON ((-94.3653250 31.2762375, -94.3653250 25.7840000, -88.0236314 25.7840000, -88.0236314 31.2762375, -94.3653250 31.2762375))","Mobile"
"POINT (-88.1162000 30.6782000)","Mobile city"
"POLYGON ((-98.3279539 37.3006656, -98.3279539 31.2762375, -94.2592750 31.2762375, -94.2592750 37.3006656, -98.3279539 37.3006656))","Fort Smith"
"POINT (-94.3695000 35.3495000)","Fort Smith city"
"POLYGON ((-94.2592750 37.3006656, -94.2592750 31.2762375, -88.0236314 31.2762375, -88.0236314 37.3006656, -94.2592750 37.3006656))","Jonesboro"
"POINT (-90.6791000 35.8212000)","Jonesboro city"
"POLYGON ((-123.1174000 39.8926750, -123.1174000 37.3006656, -121.5178375 37.3006656, -121.5178375 39.8926750, -123.1174000 39.8926750))","Chico"
"POINT (-121.8161000 39.7578000)","Chico city"
"POLYGON ((-121.5178375 39.8926750, -121.5178375 37.3006656, -96.6185914 37.3006656, -96.6185914 39.8926750, -121.5178375 39.8926750))","Sacramento"
"POINT (-121.4685000 38.5677000)","Sacramento city"
"POLYGON ((-123.1174000 47.6671000, -123.1174000 39.8926750, -96.6185914 39.8926750, -96.6185914 47.6671000, -123.1174000 47.6671000))","Fort Collins"
"POINT (-105.0656000 40.5477000)","Fort Collins city"
"POLYGON ((-96.6185914 41.6136000, -96.6185914 37.3006656, -92.1014000 37.3006656, -92.1014000 41.6136000, -96.6185914 41.6136000))","Des Moines"
"POINT (-93.6105000 41.5725000)","Des Moines city"
"POLYGON ((-92.1014000 41.6136000, -92.1014000 37.3006656, -88.0236314 37.3006656, -88.0236314 41.6136000, -92.1014000 41.6136000))","Belleville"
"POINT (-89.9900000 38.5164000)","Belleville city"
"POLYGON ((-96.6185914 47.6671000, -96.6185914 41.6136000, -88.0236314 41.6136000, -88.0236314 47.6671000, -96.6185914 47.6671000))","Aurora"
"POINT (-88.2902000 41.7638000)","Aurora city"
"POLYGON ((-88.0236314 35.1379750, -88.0236314 25.7840000, -83.8431625 25.7840000, -83.8431625 35.1379750, -88.0236314 35.1379750))","Birmingham"
"POINT (-86.7971000 33.5279000)","Birmingham city"
"POLYGON ((-83.8431625 35.1379750, -83.8431625 25.7840000, -81.9986227 25.7840000, -81.9986227 35.1379750, -83.8431625 35.1379750))","Gainesville"
"POINT (-82.3459000 29.6804000)","Gainesville city"
"POLYGON ((-88.0236314 39.9956797, -88.0236314 35.1379750, -81.9986227 35.1379750, -81.9986227 39.9956797, -88.0236314 39.9956797))","Evansville"
"POINT (-87.5341000 37.9881000)","Evansville city"
"POLYGON ((-81.9986227 35.5502812, -81.9986227 25.7840000, -80.8637625 25.7840000, -80.8637625 35.5502812, -81.9986227 35.5502812))","Cape Coral"
"POINT (-81.9957000 26.6443000)","Cape Coral city"
"POLYGON ((-80.8637625 35.5502812, -80.8637625 25.7840000, -66.0761000 25.7840000, -66.0761000 35.5502812, -80.8637625 35.5502812))","Fort Lauderdale"
"POINT (-80.1464000 26.1412000)","Fort Lauderdale city"
"POLYGON ((-81.9986227 39.9956797, -81.9986227 35.5502812, -77.1987875 35.5502812, -77.1987875 39.9956797, -81.9986227 39.9956797))","Germantown"
"POINT (-77.2643000 39.1755000)","Germantown city"
"POLYGON ((-77.1987875 39.9956797, -77.1987875 35.5502812, -66.0761000 35.5502812, -66.0761000 39.9956797, -77.1987875 39.9956797))","Wilmington"
"POINT (-75.5416000 39.7415000)","Wilmington city"
"POLYGON ((-88.0236314 42.1946844, -88.0236314 39.9956797, -82.8949250 39.9956797, -82.8949250 42.1946844, -88.0236314 42.1946844))","Chicago"
"POINT (-87.6866000 41.8375000)","Chicago city"
"POLYGON ((-82.8949250 42.1946844, -82.8949250 39.9956797, -78.4023875 39.9956797, -78.4023875 42.1946844, -82.8949250 42.1946844))","Akron"
"POINT (-81.5219000 41.0798000)","Akron city"
"POLYGON ((-88.0236314 47.6671000, -88.0236314 42.1946844, -84.5617000 42.1946844, -84.5617000 47.6671000, -88.0236314 47.6671000))","Grand Rapids"
"POINT (-85.6562000 42.9619000)","Grand Rapids city"
"POLYGON ((-84.5617000 47.6671000, -84.5617000 42.1946844, -78.4023875 42.1946844, -78.4023875 47.6671000, -84.5617000 47.6671000))","Ann Arbor"
"POINT (-83.7310000 42.2759000)","Ann Arbor city"
"POLYGON ((-78.4023875 41.6554812, -78.4023875 39.9956797, -66.0761000 39.9956797, -66.0761000 41.6554812, -78.4023875 41.6554812))","Bridgeport"
"POINT (-73.1954000 41.1918000)","Bridgeport city"
"POLYGON ((-78.4023875 47.6671000, -78.4023875 41.6554812, -66.0761000 41.6554812, -66.0761000 47.6671000, -78.4023875 47.6671000))","Hartford"
"POINT (-72.6834000 41.7661000)","Hartford city"
