WKT,name
"POLYGON ((-123.1174000 32.9759000, -123.1174000 25.7840000, -114.0004500 25.7840000, -114.0004500 32.9759000, -123.1174000 32.9759000))","Yuma"
"POINT (-114.5491000 32.5995000)","Yuma city"
"POLYGON ((-114.0004500 32.9759000, -114.0004500 25.7840000, -108.3454000 25.7840000, -108.3454000 32.9759000, -114.0004500 32.9759000))","Tucson"
"POINT (-110.8787000 32.1541000)","Tucson city"
"POLYGON ((-123.1174000 33.8056031, -123.1174000 32.9759000, -117.4072750 32.9759000, -117.4072750 33.8056031, -123.1174000 33.8056031))","Irvine"
"POINT (-117.7738000 33.6772000)","Irvine city"
"POLYGON ((-117.4072750 33.8056031, -117.4072750 32.9759000, -108.3454000 32.9759000, -108.3454000 33.8056031, -117.4072750 33.8056031))","Phoenix"
"POINT (-112.0892000 33.5722000)","Phoenix city"
"POLYGON ((-108.3454000 32.0649000, -108.3454000 25.7840000, -100.5003500 25.7840000, -100.5003500 32.0649000, -108.3454000 32.0649000))","El Paso"
"POINT (-106.4300000 31.8476000)","El Paso city"
"POLYGON ((-100.5003500 32.0649000, -100.5003500 25.7840000, -98.3279539 25.7840000, -98.3279539 32.0649000, -100.5003500 32.0649000))","Laredo"
"POINT (-99.4874000 27.5625000)","Laredo city"
"POLYGON ((-108.3454000 33.8056031, -108.3454000 32.0649000, -98.3279539 32.0649000, -98.3279539 33.8056031, -108.3454000 33.8056031))","Las Cruces"
"POINT (-106.7893000 32.3265000)","Las Cruces city"
"POLYGON ((-123.1174000 34.2031500, -123.1174000 33.8056031, -118.3996250 33.8056031, -118.3996250 34.2031500, -123.1174000 34.2031500))","Los Angeles"
"POINT (-118.4068000 34.1141000)","Los Angeles city"
"POLYGON ((-118.3996250 34.2031500, -118.3996250 33.8056031, -118.0049031 33.8056031, -118.0049031 34.2031500, -118.3996250 34.2031500))","Pasadena"
"POINT (-118.1390000 34.1597000)","Pasadena city"
"POLYGON ((-123.1174000 37.3006656, -123.1174000 34.2031500, -119.2350750 34.2031500, -119.2350750 37.3006656, -123.1174000 37.3006656))","Fresno"
"POINT (-119.7939000 36.7830000)","Fresno city"
"POLYGON ((-119.2350750 37.3006656, -119.2350750 34.2031500, -118.0049031 34.2031500, -118.0049031 37.3006656, -119.2350750 37.3006656))","Bakersfield"
"POINT (-119.0359000 35.3529000)","Bakersfield city"
"POLYGON ((-118.0049031 34.6482000, -118.0049031 33.8056031, -117.3259141 33.8056031, -117.3259141 34.6482000, -118.0049031 34.6482000))","Anaheim"
"POINT (-117.8574000 33.8390000)","Anaheim city"
"POLYGON ((-117.3259141 34.6482000, -117.3259141 33.8056031, -98.3279539 33.8056031, -98.3279539 34.6482000, -117.3259141 34.6482000))","San Bernardino"
"POINT (-117.2943000 34.1416000)","San Bernardino city"
"POLYGON ((-118.0049031 37.3006656, -118.0049031 34.6482000, -110.9559500 34.6482000, -110.9559500 37.3006656, -118.0049031 37.3006656))","Las Vegas"
"POINT (-115.2654000 36.2333000)","Las Vegas city"
"POLYGON ((-110.9559500 37.3006656, -110.9559500 34.6482000, -98.3279539 34.6482000, -98.3279539 37.3006656, -110.9559500 37.3006656))","Albuquerque"
"POINT (-106.6465000 35.1054000)","Albuquerque city"
"POLYGON ((-98.3279539 30.2378250, -98.3279539 25.7840000, -96.7516500 25.7840000, -96.7516500 30.2378250, -98.3279539 30.2378250))","Corpus Christi"
"POINT (-97.3767000 27.7254000)","Corpus Christi city"
"POLYGON ((-96.7516500 30.2378250, -96.7516500 25.7840000, -94.3653250 25.7840000, -94.3653250 30.2378250, -96.7516500 30.2378250))","Houston"
"POINT (-95.3885000 29.7860000)","Houston city"
"POLYGON ((-98.3279539 31.2762375, -98.3279539 30.2378250, -96.6173000 30.2378250, -96.6173000 31.2762375, -98.3279539 31.2762375))","Austin"
"POINT (-97.7522000 30.3005000)","Austin city"
"POLYGON ((-96.6173000 31.2762375, -96.6173000 30.2378250, -94.3653250 30.2378250, -94.3653250 31.2762375, -96.6173000 31.2762375))","College Station"
"POINT (-96.2959000 30.5852000)","College Station city"
"POLYGON ((-94.3653250 30.1291000, -94.3653250 25.7840000, -88.0236314 25.7840000, -88.0236314 30.1291000, -94.3653250 30.1291000))","Houma"
"POINT (-90.7059000 29.5800000)","Houma city"
"POLYGON ((-94.3653250 31.2762375, -94.3653250 30.1291000, -90.0743500 30.1291000, -90.0743500 31.2762375, -94.3653250 31.2762375))","Baton Rouge"
"POINT (-91.1311000 30.4420000)","Baton Rouge city"
"POLYGON ((-90.0743500 31.2762375, -90.0743500 30.1291000, -88.0236314 30.1291000, -88.0236314 31.2762375, -90.0743500 31.2762375))","Mobile"
"POINT (-88.1162000 30.6782000)","Mobile city"
"POLYGON ((-98.3279539 34.2233500, -98.3279539 31.2762375, -96.8371000 31.2762375, -96.8371000 34.2233500, -98.3279539 34.2233500))","Denton"
"POINT (-97.1418000 33.2175000)","Denton city"
"POLYGON ((-96.8371000 34.2233500, -96.8371000 31.2762375, -94.2592750 31.2762375, -94.2592750 34.2233500, -96.8371000 34.2233500))","Dallas"
"POINT (-96.7667000 32.7935000)","Dallas city"
"POLYGON ((-98.3279539 37.3006656, -98.3279539 34.2233500, -94.2592750 34.2233500, -94.2592750 37.3006656, -98.3279539 37.3006656))","Fort Smith"
