WKT,name
"POLYGON ((-123.1174000 33.8056031, -123.1174000 25.7840000, -98.3279539 25.7840000, -98.3279539 33.8056031, -123.1174000 33.8056031))","Phoenix"
"POINT (-112.0892000 33.5722000)","Phoenix city"
"POLYGON ((-123.1174000 37.3006656, -123.1174000 33.8056031, -98.3279539 33.8056031, -98.3279539 37.3006656, -123.1174000 37.3006656))","Anaheim"
"POINT (-117.8574000 33.8390000)","Anaheim city"
"POLYGON ((-98.3279539 31.2762375, -98.3279539 25.7840000, -88.0236314 25.7840000, -88.0236314 31.2762375, -98.3279539 31.2762375))","Mobile"
"POINT (-88.1162000 30.6782000)","Mobile city"
"POLYGON ((-98.3279539 37.3006656, -98.3279539 31.2762375, -88.0236314 31.2762375, -88.0236314 37.3006656, -98.3279539 37.3006656))","Fort Smith"
"POINT (-94.3695000 35.3495000)","Fort Smith city"
"POLYGON ((-123.1174000 39.8926750, -123.1174000 37.3006656, -96.6185914 37.3006656, -96.6185914 39.8926750, -123.1174000 39.8926750))","Chico"
"POINT (-121.8161000 39.7578000)","Chico city"
"POLYGON ((-123.1174000 47.6671000, -123.1174000 39.8926750, -96.6185914 39.8926750, -96.6185914 47.6671000, -123.1174000 47.6671000))","Fort Collins"
"POINT (-105.0656000 40.5477000)","Fort Collins city"
"POLYGON ((-96.6185914 41.6136000, -96.6185914 37.3006656, -88.0236314 37.3006656, -88.0236314 41.6136000, -96.6185914 41.6136000))","Belleville"
"POINT (-89.9900000 38.5164000)","Belleville city"
"POLYGON ((-96.6185914 47.6671000, -96.6185914 41.6136000, -88.0236314 41.6136000, -88.0236314 47.6671000, -96.6185914 47.6671000))","Aurora"
"POINT (-88.2902000 41.7638000)","Aurora city"
"POLYGON ((-88.0236314 35.1379750, -88.0236314 25.7840000, -81.9986227 25.7840000, -81.9986227 35.1379750, -88.0236314 35.1379750))","Birmingham"
"POINT (-86.7971000 33.5279000)","Birmingham city"
"POLYGON ((-88.0236314 39.9956797, -88.0236314 35.1379750, -81.9986227 35.1379750, -81.9986227 39.9956797, -88.0236314 39.9956797))","Evansville"
"POINT (-87.5341000 37.9881000)","Evansville city"
"POLYGON ((-81.9986227 35.5502812, -81.9986227 25.7840000, -66.0761000 25.7840000, -66.0761000 35.5502812, -81.9986227 35.5502812))","Cape Coral"
"POINT (-81.9957000 26.6443000)","Cape Coral city"
"POLYGON ((-81.9986227 39.9956797, -81.9986227 35.5502812, -66.0761000 35.5502812, -66.0761000 39.9956797, -81.9986227 39.9956797))","Wilmington"
"POINT (-75.5416000 39.7415000)","Wilmington city"
"POLYGON ((-88.0236314 42.1946844, -88.0236314 39.9956797, -78.4023875 39.9956797, -78.4023875 42.1946844, -88.0236314 42.1946844))","Chicago"
"POINT (-87.6866000 41.8375000)","Chicago city"
"POLYGON ((-88.0236314 47.6671000, -88.0236314 42.1946844, -78.4023875 42.1946844, -78.4023875 47.6671000, -88.0236314 47.6671000))","Ann Arbor"
"POINT (-83.7310000 42.2759000)","Ann Arbor city"
"POLYGON ((-78.4023875 47.6671000, -78.4023875 39.9956797, -66.0761000 39.9956797, -66.0761000 47.6671000, -78.4023875 47.6671000))","Bridgeport"
"POINT (-73.1954000 41.1918000)","Bridgeport city"
