WKT,name
"POLYGON ((-123.1174000 33.8354372, -123.1174000 25.7840000, -108.4327000 25.7840000, -108.4327000 33.8354372, -123.1174000 33.8354372))","Phoenix"
"POINT (-112.0892000 33.5722000)","Phoenix city"
"POLYGON ((-108.4327000 33.8354372, -108.4327000 25.7840000, -98.4487277 25.7840000, -98.4487277 33.8354372, -108.4327000 33.8354372))","Las Cruces"
"POINT (-106.7893000 32.3265000)","Las Cruces city"
"POLYGON ((-123.1174000 37.6877057, -123.1174000 33.8354372, -118.2657813 33.8354372, -118.2657813 37.6877057, -123.1174000 37.6877057))","Bakersfield"
"POINT (-119.0359000 35.3529000)","Bakersfield city"
"POLYGON ((-118.2657813 37.6877057, -118.2657813 33.8354372, -98.4487277 33.8354372, -98.4487277 37.6877057, -118.2657813 37.6877057))","Anaheim"
"POINT (-117.8574000 33.8390000)","Anaheim city"
"POLYGON ((-98.4487277 32.3165219, -98.4487277 25.7840000, -93.1155000 25.7840000, -93.1155000 32.3165219, -98.4487277 32.3165219))","Austin"
"POINT (-97.7522000 30.3005000)","Austin city"
"POLYGON ((-93.1155000 32.3165219, -93.1155000 25.7840000, -87.6894051 25.7840000, -87.6894051 32.3165219, -93.1155000 32.3165219))","Mobile"
"POINT (-88.1162000 30.6782000)","Mobile city"
"POLYGON ((-98.4487277 37.6877057, -98.4487277 32.3165219, -94.8259000 32.3165219, -94.8259000 37.6877057, -98.4487277 37.6877057))","Lawton"
"POINT (-98.4202000 34.6175000)","Lawton city"
"POLYGON ((-94.8259000 37.6877057, -94.8259000 32.3165219, -87.6894051 32.3165219, -87.6894051 37.6877057, -94.8259000 37.6877057))","Fort Smith"
"POINT (-94.3695000 35.3495000)","Fort Smith city"
"POLYGON ((-123.1174000 40.8075000, -123.1174000 37.6877057, -115.9539000 37.6877057, -115.9539000 40.8075000, -123.1174000 40.8075000))","Chico"
"POINT (-121.8161000 39.7578000)","Chico city"
"POLYGON ((-115.9539000 40.8075000, -115.9539000 37.6877057, -95.4938844 37.6877057, -95.4938844 40.8075000, -115.9539000 40.8075000))","Colorado Springs"
"POINT (-104.7605000 38.8674000)","Colorado Springs city"
"POLYGON ((-123.1174000 48.3822000, -123.1174000 40.8075000, -109.5851500 40.8075000, -109.5851500 48.3822000, -123.1174000 48.3822000))","Meridian"
"POINT (-116.3977000 43.6116000)","Meridian city"
"POLYGON ((-109.5851500 48.3822000, -109.5851500 40.8075000, -95.4938844 40.8075000, -95.4938844 48.3822000, -109.5851500 48.3822000))","Sioux City"
"POINT (-96.3901000 42.4959000)","Sioux City city"
"POLYGON ((-95.4938844 41.9848453, -95.4938844 37.6877057, -90.3571875 37.6877057, -90.3571875 41.9848453, -95.4938844 41.9848453))","Cedar Rapids"
"POINT (-91.6783000 41.9662000)","Cedar Rapids city"
"POLYGON ((-90.3571875 41.9848453, -90.3571875 37.6877057, -87.6894051 37.6877057, -87.6894051 41.9848453, -90.3571875 41.9848453))","Aurora"
"POINT (-88.2902000 41.7638000)","Aurora city"
"POLYGON ((-95.4938844 48.3822000, -95.4938844 41.9848453, -91.8113625 41.9848453, -91.8113625 48.3822000, -95.4938844 48.3822000))","Mason City"
"POINT (-93.1997000 43.1487000)","Mason City city"
"POLYGON ((-91.8113625 48.3822000, -91.8113625 41.9848453, -87.6894051 41.9848453, -87.6894051 48.3822000, -91.8113625 48.3822000))","Elgin"
"POINT (-88.3240000 42.0383000)","Elgin city"
"POLYGON ((-87.6894051 35.1907250, -87.6894051 25.7840000, -83.8431625 25.7840000, -83.8431625 35.1907250, -87.6894051 35.1907250))","Birmingham"
"POINT (-86.7971000 33.5279000)","Birmingham city"
"POLYGON ((-83.8431625 35.1907250, -83.8431625 25.7840000, -81.9986227 25.7840000, -81.9986227 35.1907250, -83.8431625 35.1907250))","Gainesville"
"POINT (-82.3459000 29.6804000)","Gainesville city"
"POLYGON ((-87.6894051 40.0777602, -87.6894051 35.1907250, -84.3434656 35.1907250, -84.3434656 40.0777602, -87.6894051 40.0777602))","Evansville"
"POINT (-87.5341000 37.9881000)","Evansville city"
"POLYGON ((-84.3434656 40.0777602, -84.3434656 35.1907250, -81.9986227 35.1907250, -81.9986227 40.0777602, -84.3434656 40.0777602))","Ashland"
"POINT (-82.6448000 38.4592000)","Ashland city"
"POLYGON ((-81.9986227 36.0319375, -81.9986227 25.7840000, -80.5520438 25.7840000, -80.5520438 36.0319375, -81.9986227 36.0319375))","Cape Coral"
"POINT (-81.9957000 26.6443000)","Cape Coral city"
"POLYGON ((-80.5520438 36.0319375, -80.5520438 25.7840000, -66.0761000 25.7840000, -66.0761000 36.0319375, -80.5520438 36.0319375))","Fort Lauderdale"
"POINT (-80.1464000 26.1412000)","Fort Lauderdale city"
"POLYGON ((-81.9986227 40.0777602, -81.9986227 36.0319375, -76.9654500 36.0319375, -76.9654500 40.0777602, -81.9986227 40.0777602))","Washington"
"POINT (-77.0163000 38.9047000)","Washington city"
"POLYGON ((-76.9654500 40.0777602, -76.9654500 36.0319375, -66.0761000 36.0319375, -66.0761000 40.0777602, -76.9654500 40.0777602))","Wilmington"
"POINT (-75.5416000 39.7415000)","Wilmington city"
"POLYGON ((-87.6894051 42.4153953, -87.6894051 40.0777602, -83.3495562 40.0777602, -83.3495562 42.4153953, -87.6894051 42.4153953))","Chicago"
"POINT (-87.6866000 41.8375000)","Chicago city"
"POLYGON ((-83.3495562 42.4153953, -83.3495562 40.0777602, -76.0371898 40.0777602, -76.0371898 42.4153953, -83.3495562 42.4153953))","Detroit"
"POINT (-83.1024000 42.3834000)","Detroit city"
"POLYGON ((-87.6894051 48.3822000, -87.6894051 42.4153953, -81.7759500 42.4153953, -81.7759500 48.3822000, -87.6894051 48.3822000))","Flint"
"POINT (-83.6921000 43.0236000)","Flint city"
"POLYGON ((-81.7759500 48.3822000, -81.7759500 42.4153953, -76.0371898 42.4153953, -76.0371898 48.3822000, -81.7759500 48.3822000))","Buffalo"
