WKT,name
"POLYGON ((-123.1174000 33.8354372, -123.1174000 25.7840000, -98.4487277 25.7840000, -98.4487277 33.8354372, -123.1174000 33.8354372))","Phoenix"
"POINT (-112.0892000 33.5722000)","Phoenix city"
"POLYGON ((-123.1174000 37.6877057, -123.1174000 33.8354372, -98.4487277 33.8354372, -98.4487277 37.6877057, -123.1174000 37.6877057))","Anaheim"
"POINT (-117.8574000 33.8390000)","Anaheim city"
"POLYGON ((-98.4487277 32.3165219, -98.4487277 25.7840000, -87.6894051 25.7840000, -87.6894051 32.3165219, -98.4487277 32.3165219))","Mobile"
"POINT (-88.1162000 30.6782000)","Mobile city"
"POLYGON ((-98.4487277 37.6877057, -98.4487277 32.3165219, -87.6894051 32.3165219, -87.6894051 37.6877057, -98.4487277 37.6877057))","Fort Smith"
"POINT (-94.3695000 35.3495000)","Fort Smith city"
"POLYGON ((-123.1174000 40.8075000, -123.1174000 37.6877057, -95.4938844 37.6877057, -95.4938844 40.8075000, -123.1174000 40.8075000))","Chico"
"POINT (-121.8161000 39.7578000)","Chico city"
"POLYGON ((-123.1174000 48.3822000, -123.1174000 40.8075000, -95.4938844 40.8075000, -95.4938844 48.3822000, -123.1174000 48.3822000))","Meridian"
"POINT (-116.3977000 43.6116000)","Meridian city"
"POLYGON ((-95.4938844 41.9848453, -95.4938844 37.6877057, -87.6894051 37.6877057, -87.6894051 41.9848453, -95.4938844 41.9848453))","Aurora"
"POINT (-88.2902000 41.7638000)","Aurora city"
"POLYGON ((-95.4938844 48.3822000, -95.4938844 41.9848453, -87.6894051 41.9848453, -87.6894051 48.3822000, -95.4938844 48.3822000))","Elgin"
"POINT (-88.3240000 42.0383000)","Elgin city"
"POLYGON ((-87.6894051 35.1907250, -87.6894051 25.7840000, -81.9986227 25.7840000, -81.9986227 35.1907250, -87.6894051 35.1907250))","Birmingham"
"POINT (-86.7971000 33.5279000)","Birmingham city"
"POLYGON ((-87.6894051 40.0777602, -87.6894051 35.1907250, -81.9986227 35.1907250, -81.9986227 40.0777602, -87.6894051 40.0777602))","Evansville"
"POINT (-87.5341000 37.9881000)","Evansville city"
"POLYGON ((-81.9986227 36.0319375, -81.9986227 25.7840000, -66.0761000 25.7840000, -66.0761000 36.0319375, -81.9986227 36.0319375))","Cape Coral"
"POINT (-81.9957000 26.6443000)","Cape Coral city"
"POLYGON ((-81.9986227 40.0777602, -81.9986227 36.0319375, -66.0761000 36.0319375, -66.0761000 40.0777602, -81.9986227 40.0777602))","Wilmington"
"POINT (-75.5416000 39.7415000)","Wilmington city"
"POLYGON ((-87.6894051 42.4153953, -87.6894051 40.0777602, -76.0371898 40.0777602, -76.0371898 42.4153953, -87.6894051 42.4153953))","Chicago"
"POINT (-87.6866000 41.8375000)","Chicago city"
"POLYGON ((-87.6894051 48.3822000, -87.6894051 42.4153953, -76.0371898 42.4153953, -76.0371898 48.3822000, -87.6894051 48.3822000))","Flint"
"POINT (-83.6921000 43.0236000)","Flint city"
"POLYGON ((-76.0371898 42.1029367, -76.0371898 40.0777602, -66.0761000 40.0777602, -66.0761000 42.1029367, -76.0371898 42.1029367))","Bridgeport"
"POINT (-73.1954000 41.1918000)","Bridgeport city"
"POLYGON ((-76.0371898 48.3822000, -76.0371898 42.1029367, -66.0761000 42.1029367, -66.0761000 48.3822000, -76.0371898 48.3822000))","Portland"
"POINT (-70.2715000 43.6773000)","Portland city"
