WKT,name
"POLYGON ((-123.1174000 32.9759000, -123.1174000 25.7840000, -108.3454000 25.7840000, -108.3454000 32.9759000, -123.1174000 32.9759000))","Tucson"
"POINT (-110.8787000 32.1541000)","Tucson city"
"POLYGON ((-123.1174000 33.8056031, -123.1174000 32.9759000, -108.3454000 32.9759000, -108.3454000 33.8056031, -123.1174000 33.8056031))","Phoenix"
"POINT (-112.0892000 33.5722000)","Phoenix city"
"POLYGON ((-108.3454000 32.0649000, -108.3454000 25.7840000, -98.3279539 25.7840000, -98.3279539 32.0649000, -108.3454000 32.0649000))","El Paso"
"POINT (-106.4300000 31.8476000)","El Paso city"
"POLYGON ((-108.3454000 33.8056031, -108.3454000 32.0649000, -98.3279539 32.0649000, -98.3279539 33.8056031, -108.3454000 33.8056031))","Las Cruces"
"POINT (-106.7893000 32.3265000)","Las Cruces city"
"POLYGON ((-123.1174000 34.2031500, -123.1174000 33.8056031, -118.0049031 33.8056031, -118.0049031 34.2031500, -123.1174000 34.2031500))","Los Angeles"
"POINT (-118.4068000 34.1141000)","Los Angeles city"
"POLYGON ((-123.1174000 37.3006656, -123.1174000 34.2031500, -118.0049031 34.2031500, -118.0049031 37.3006656, -123.1174000 37.3006656))","Bakersfield"
"POINT (-119.0359000 35.3529000)","Bakersfield city"
"POLYGON ((-118.0049031 34.6482000, -118.0049031 33.8056031, -98.3279539 33.8056031, -98.3279539 34.6482000, -118.0049031 34.6482000))","Anaheim"
"POINT (-117.8574000 33.8390000)","Anaheim city"
"POLYGON ((-118.0049031 37.3006656, -118.0049031 34.6482000, -98.3279539 34.6482000, -98.3279539 37.3006656, -118.0049031 37.3006656))","Las Vegas"
"POINT (-115.2654000 36.2333000)","Las Vegas city"
"POLYGON ((-98.3279539 30.2378250, -98.3279539 25.7840000, -94.3653250 25.7840000, -94.3653250 30.2378250, -98.3279539 30.2378250))","Corpus Christi"
"POINT (-97.3767000 27.7254000)","Corpus Christi city"
"POLYGON ((-98.3279539 31.2762375, -98.3279539 30.2378250, -94.3653250 30.2378250, -94.3653250 31.2762375, -98.3279539 31.2762375))","Austin"
"POINT (-97.7522000 30.3005000)","Austin city"
"POLYGON ((-94.3653250 31.2762375, -94.3653250 25.7840000, -88.0236314 25.7840000, -88.0236314 31.2762375, -94.3653250 31.2762375))","Mobile"
"POINT (-88.1162000 30.6782000)","Mobile city"
"POLYGON ((-98.3279539 34.2233500, -98.3279539 31.2762375, -94.2592750 31.2762375, -94.2592750 34.2233500, -98.3279539 34.2233500))","Dallas"
"POINT (-96.7667000 32.7935000)","Dallas city"
"POLYGON ((-98.3279539 37.3006656, -98.3279539 34.2233500, -94.2592750 34.2233500, -94.2592750 37.3006656, -98.3279539 37.3006656))","Fort Smith"
"POINT (-94.3695000 35.3495000)","Fort Smith city"
"POLYGON ((-94.2592750 35.0599125, -94.2592750 31.2762375, -88.0236314 31.2762375, -88.0236314 35.0599125, -94.2592750 35.0599125))","Little Rock"
"POINT (-92.3577000 34.7256000)","Little Rock city"
"POLYGON ((-94.2592750 37.3006656, -94.2592750 35.0599125, -88.0236314 35.0599125, -88.0236314 37.3006656, -94.2592750 37.3006656))","Jonesboro"
"POINT (-90.6791000 35.8212000)","Jonesboro city"
"POLYGON ((-123.1174000 37.9153500, -123.1174000 37.3006656, -121.5178375 37.3006656, -121.5178375 37.9153500, -123.1174000 37.9153500))","Daly City"
"POINT (-122.4685000 37.6862000)","Daly City city"
"POLYGON ((-123.1174000 39.8926750, -123.1174000 37.9153500, -121.5178375 37.9153500, -121.5178375 39.8926750, -123.1174000 39.8926750))","Chico"
"POINT (-121.8161000 39.7578000)","Chico city"
"POLYGON ((-121.5178375 38.7257500, -121.5178375 37.3006656, -96.6185914 37.3006656, -96.6185914 38.7257500, -121.5178375 38.7257500))","Sacramento"
"POINT (-121.4685000 38.5677000)","Sacramento city"
"POLYGON ((-121.5178375 39.8926750, -121.5178375 38.7257500, -96.6185914 38.7257500, -96.6185914 39.8926750, -121.5178375 39.8926750))","Colorado Springs"
"POINT (-104.7605000 38.8674000)","Colorado Springs city"
"POLYGON ((-123.1174000 47.6671000, -123.1174000 39.8926750, -116.5208250 39.8926750, -116.5208250 47.6671000, -123.1174000 47.6671000))","Eugene"
"POINT (-123.1174000 44.0564000)","Eugene city"
"POLYGON ((-116.5208250 42.1270500, -116.5208250 39.8926750, -96.6185914 39.8926750, -96.6185914 42.1270500, -116.5208250 42.1270500))","Fort Collins"
"POINT (-105.0656000 40.5477000)","Fort Collins city"
"POLYGON ((-116.5208250 47.6671000, -116.5208250 42.1270500, -96.6185914 42.1270500, -96.6185914 47.6671000, -116.5208250 47.6671000))","Meridian"
"POINT (-116.3977000 43.6116000)","Meridian city"
"POLYGON ((-96.6185914 39.0642250, -96.6185914 37.3006656, -92.1014000 37.3006656, -92.1014000 39.0642250, -96.6185914 39.0642250))","Overland Park"
"POINT (-94.6870000 38.8870000)","Overland Park city"
"POLYGON ((-96.6185914 41.6136000, -96.6185914 39.0642250, -92.1014000 39.0642250, -92.1014000 41.6136000, -96.6185914 41.6136000))","Des Moines"
"POINT (-93.6105000 41.5725000)","Des Moines city"
