WKT,name
"POLYGON ((-123.1174000 33.0280000, -123.1174000 25.7840000, -115.7009000 25.7840000, -115.7009000 33.0280000, -123.1174000 33.0280000))","San Diego"
"POINT (-117.1222000 32.8313000)","San Diego city"
"POLYGON ((-123.1174000 33.4144750, -123.1174000 33.0280000, -115.7009000 33.0280000, -115.7009000 33.4144750, -123.1174000 33.4144750))","Oceanside"
"POINT (-117.3083000 33.2247000)","Oceanside city"
"POLYGON ((-115.7009000 32.3768000, -115.7009000 25.7840000, -108.4327000 25.7840000, -108.4327000 32.3768000, -115.7009000 32.3768000))","Tucson"
"POINT (-110.8787000 32.1541000)","Tucson city"
"POLYGON ((-115.7009000 33.4144750, -115.7009000 32.3768000, -108.4327000 32.3768000, -108.4327000 33.4144750, -115.7009000 33.4144750))","Yuma"
"POINT (-114.5491000 32.5995000)","Yuma city"
"POLYGON ((-123.1174000 33.8161500, -123.1174000 33.4144750, -117.9508250 33.4144750, -117.9508250 33.8161500, -123.1174000 33.8161500))","Long Beach"
"POINT (-118.1670000 33.7977000)","Long Beach city"
"POLYGON ((-123.1174000 33.8354372, -123.1174000 33.8161500, -117.9508250 33.8161500, -117.9508250 33.8354372, -123.1174000 33.8354372))","Torrance"
"POINT (-118.3416000 33.8346000)","Torrance city"
"POLYGON ((-117.9508250 33.6247000, -117.9508250 33.4144750, -108.4327000 33.4144750, -108.4327000 33.6247000, -117.9508250 33.6247000))","Phoenix"
"POINT (-112.0892000 33.5722000)","Phoenix city"
"POLYGON ((-117.9508250 33.8354372, -117.9508250 33.6247000, -108.4327000 33.6247000, -108.4327000 33.8354372, -117.9508250 33.8354372))","Irvine"
"POINT (-117.7738000 33.6772000)","Irvine city"
"POLYGON ((-108.4327000 31.9359500, -108.4327000 25.7840000, -100.5003500 25.7840000, -100.5003500 31.9359500, -108.4327000 31.9359500))","El Paso"
"POINT (-106.4300000 31.8476000)","El Paso city"
"POLYGON ((-108.4327000 32.0649000, -108.4327000 31.9359500, -100.5003500 31.9359500, -100.5003500 32.0649000, -108.4327000 32.0649000))","Midland"
"POINT (-102.1147000 32.0243000)","Midland city"
"POLYGON ((-100.5003500 28.5128500, -100.5003500 25.7840000, -98.4487277 25.7840000, -98.4487277 28.5128500, -100.5003500 28.5128500))","Laredo"
"POINT (-99.4874000 27.5625000)","Laredo city"
"POLYGON ((-100.5003500 32.0649000, -100.5003500 28.5128500, -98.4487277 28.5128500, -98.4487277 32.0649000, -100.5003500 32.0649000))","San Antonio"
"POINT (-98.5238000 29.4632000)","San Antonio city"
"POLYGON ((-108.4327000 33.8354372, -108.4327000 32.0649000, -103.2638500 32.0649000, -103.2638500 33.8354372, -108.4327000 33.8354372))","Las Cruces"
"POINT (-106.7893000 32.3265000)","Las Cruces city"
"POLYGON ((-103.2638500 33.0100000, -103.2638500 32.0649000, -98.4487277 32.0649000, -98.4487277 33.0100000, -103.2638500 33.0100000))","Abilene"
"POINT (-99.7384000 32.4543000)","Abilene city"
"POLYGON ((-103.2638500 33.8354372, -103.2638500 33.0100000, -98.4487277 33.0100000, -98.4487277 33.8354372, -103.2638500 33.8354372))","Lubbock"
"POINT (-101.8879000 33.5657000)","Lubbock city"
"POLYGON ((-123.1174000 34.7746500, -123.1174000 33.8354372, -118.7941500 33.8354372, -118.7941500 34.7746500, -123.1174000 34.7746500))","Oxnard"
"POINT (-119.1815000 34.1964000)","Oxnard city"
"POLYGON ((-123.1174000 35.9001500, -123.1174000 34.7746500, -118.7941500 34.7746500, -118.7941500 35.9001500, -123.1174000 35.9001500))","Bakersfield"
"POINT (-119.0359000 35.3529000)","Bakersfield city"
"POLYGON ((-118.7941500 34.2013500, -118.7941500 33.8354372, -118.2657813 33.8354372, -118.2657813 34.2013500, -118.7941500 34.2013500))","Los Angeles"
"POINT (-118.4068000 34.1141000)","Los Angeles city"
"POLYGON ((-118.7941500 35.9001500, -118.7941500 34.2013500, -118.2657813 34.2013500, -118.2657813 35.9001500, -118.7941500 35.9001500))","San Fernando"
"POINT (-118.4362000 34.2886000)","San Fernando city"
"POLYGON ((-123.1174000 37.4937000, -123.1174000 35.9001500, -121.7998500 35.9001500, -121.7998500 37.4937000, -123.1174000 37.4937000))","San Jose"
"POINT (-121.8480000 37.3012000)","San Jose city"
"POLYGON ((-123.1174000 37.6877057, -123.1174000 37.4937000, -121.7998500 37.4937000, -121.7998500 37.6877057, -123.1174000 37.6877057))","Daly City"
"POINT (-122.4685000 37.6862000)","Daly City city"
"POLYGON ((-121.7998500 36.7356500, -121.7998500 35.9001500, -118.2657813 35.9001500, -118.2657813 36.7356500, -121.7998500 36.7356500))","Salinas"
"POINT (-121.6317000 36.6883000)","Salinas city"
"POLYGON ((-121.7998500 37.6877057, -121.7998500 36.7356500, -118.2657813 36.7356500, -118.2657813 37.6877057, -121.7998500 37.6877057))","Fresno"
"POINT (-119.7939000 36.7830000)","Fresno city"
"POLYGON ((-118.2657813 33.9993500, -118.2657813 33.8354372, -117.7166500 33.8354372, -117.7166500 33.9993500, -118.2657813 33.9993500))","Anaheim"
"POINT (-117.8574000 33.8390000)","Anaheim city"
"POLYGON ((-118.2657813 34.6482000, -118.2657813 33.9993500, -117.7166500 33.9993500, -117.7166500 34.6482000, -118.2657813 34.6482000))","Pasadena"
"POINT (-118.1390000 34.1597000)","Pasadena city"
"POLYGON ((-117.7166500 34.0398500, -117.7166500 33.8354372, -98.4487277 33.8354372, -98.4487277 34.0398500, -117.7166500 34.0398500))","Riverside"
"POINT (-117.3949000 33.9381000)","Riverside city"
"POLYGON ((-117.7166500 34.6482000, -117.7166500 34.0398500, -98.4487277 34.0398500, -98.4487277 34.6482000, -117.7166500 34.6482000))","San Bernardino"
"POINT (-117.2943000 34.1416000)","San Bernardino city"
"POLYGON ((-118.2657813 36.6545500, -118.2657813 34.6482000, -110.9559500 34.6482000, -110.9559500 36.6545500, -118.2657813 36.6545500))","Las Vegas"
"POINT (-115.2654000 36.2333000)","Las Vegas city"
"POLYGON ((-118.2657813 37.6877057, -118.2657813 36.6545500, -110.9559500 36.6545500, -110.9559500 37.6877057, -118.2657813 37.6877057))","St. George"
"POINT (-113.5752000 37.0758000)","St. George city"
"POLYGON ((-110.9559500 37.6877057, -110.9559500 34.6482000, -98.4487277 34.6482000, -98.4487277 37.6877057, -110.9559500 37.6877057))","Albuquerque"
"POINT (-106.6465000 35.1054000)","Albuquerque city"
"POLYGON ((-98.4487277 28.7124000, -98.4487277 25.7840000, -96.1299500 25.7840000, -96.1299500 28.7124000, -98.4487277 28.7124000))","Corpus Christi"
"POINT (-97.3767000 27.7254000)","Corpus Christi city"
"POLYGON ((-98.4487277 30.2378250, -98.4487277 28.7124000, -96.1299500 28.7124000, -96.1299500 30.2378250, -98.4487277 30.2378250))","New Braunfels"
"POINT (-98.1148000 29.6994000)","New Braunfels city"
"POLYGON ((-96.1299500 29.9354500, -96.1299500 25.7840000, -93.1155000 25.7840000, -93.1155000 29.9354500, -96.1299500 29.9354500))","Houston"
"POINT (-95.3885000 29.7860000)","Houston city"
"POLYGON ((-96.1299500 30.2378250, -96.1299500 29.9354500, -93.1155000 29.9354500, -93.1155000 30.2378250, -96.1299500 30.2378250))","Beaumont"
"POINT (-94.1451000 30.0849000)","Beaumont city"
"POLYGON ((-98.4487277 30.6879000, -98.4487277 30.2378250, -96.6173000 30.2378250, -96.6173000 30.6879000, -98.4487277 30.6879000))","Austin"
"POINT (-97.7522000 30.3005000)","Austin city"
"POLYGON ((-98.4487277 32.3165219, -98.4487277 30.6879000, -96.6173000 30.6879000, -96.6173000 32.3165219, -98.4487277 32.3165219))","Killeen"
"POINT (-97.7297000 31.0753000)","Killeen city"
"POLYGON ((-96.6173000 30.4545000, -96.6173000 30.2378250, -93.1155000 30.2378250, -93.1155000 30.4545000, -96.6173000 30.4545000))","Conroe"
"POINT (-95.4824000 30.3238000)","Conroe city"
"POLYGON ((-96.6173000 32.3165219, -96.6173000 30.4545000, -93.1155000 30.4545000, -93.1155000 32.3165219, -96.6173000 32.3165219))","College Station"
"POINT (-96.2959000 30.5852000)","College Station city"
"POLYGON ((-93.1155000 30.2639250, -93.1155000 25.7840000, -90.9806500 25.7840000, -90.9806500 30.2639250, -93.1155000 30.2639250))","Lafayette"
"POINT (-92.0325000 30.2082000)","Lafayette city"
"POLYGON ((-90.9806500 29.8243500, -90.9806500 25.7840000, -87.6894051 25.7840000, -87.6894051 29.8243500, -90.9806500 29.8243500))","Houma"
"POINT (-90.7059000 29.5800000)","Houma city"
"POLYGON ((-90.9806500 30.2639250, -90.9806500 29.8243500, -87.6894051 29.8243500, -87.6894051 30.2639250, -90.9806500 30.2639250))","New Orleans"
"POINT (-89.9288000 30.0687000)","New Orleans city"
"POLYGON ((-93.1155000 31.3788500, -93.1155000 30.2639250, -89.6236500 30.2639250, -89.6236500 31.3788500, -93.1155000 31.3788500))","Baton Rouge"
"POINT (-91.1311000 30.4420000)","Baton Rouge city"
"POLYGON ((-93.1155000 32.3165219, -93.1155000 31.3788500, -89.6236500 31.3788500, -89.6236500 32.3165219, -93.1155000 32.3165219))","Jackson"
"POINT (-90.2125000 32.3157000)","Jackson city"
"POLYGON ((-89.6236500 30.5528000, -89.6236500 30.2639250, -87.6894051 30.2639250, -87.6894051 30.5528000, -89.6236500 30.5528000))","Gulfport"
"POINT (-89.0704000 30.4274000)","Gulfport city"
"POLYGON ((-89.6236500 32.3165219, -89.6236500 30.5528000, -87.6894051 30.5528000, -87.6894051 32.3165219, -89.6236500 32.3165219))","Mobile"
"POINT (-88.1162000 30.6782000)","Mobile city"
"POLYGON ((-98.4487277 32.9996000, -98.4487277 32.3165219, -96.8371000 32.3165219, -96.8371000 32.9996000, -98.4487277 32.9996000))","Fort Worth"
"POINT (-97.3474000 32.7817000)","Fort Worth city"
"POLYGON ((-98.4487277 34.2233500, -98.4487277 32.9996000, -96.8371000 32.9996000, -96.8371000 34.2233500, -98.4487277 34.2233500))","Denton"
"POINT (-97.1418000 33.2175000)","Denton city"
"POLYGON ((-96.8371000 32.5559500, -96.8371000 32.3165219, -94.8259000 32.3165219, -94.8259000 32.5559500, -96.8371000 32.5559500))","Tyler"
"POINT (-95.3062000 32.3184000)","Tyler city"
"POLYGON ((-96.8371000 34.2233500, -96.8371000 32.5559500, -94.8259000 32.5559500, -94.8259000 34.2233500, -96.8371000 34.2233500))","Dallas"
"POINT (-96.7667000 32.7935000)","Dallas city"
"POLYGON ((-98.4487277 35.0425500, -98.4487277 34.2233500, -97.1622000 34.2233500, -97.1622000 35.0425500, -98.4487277 35.0425500))","Lawton"
"POINT (-98.4202000 34.6175000)","Lawton city"
